id,female,hispanic,white,black,native,asian,prtedu,health,q1,q2,q3,q4,q5,q6,q7,q8
57103869,0,0,0,1,0,0,2,1,3,0,0,0,3,3,0,0
57111071,0,0,1,0,0,0,8,3,0,0,0,0,3,3,0,0
57117542,0,0,1,0,0,0,5,3,0,0,0,0,2,2,1,0
57118381,1,0,1,0,0,0,8,2,0,0,0,0,3,3,0,0
57118943,1,0,1,0,0,0,9,3,1,0,1,0,2,2,1,1
57120005,0,0,1,0,0,0,8,3,0,0,0,0,3,3,0,1
57120371,1,0,1,0,0,0,4,2,0,2,0,1,2,2,1,0
57121404,1,0,1,0,0,0,9,4,0,0,1,0,3,3,0,0
57121476,1,1,0,0,0,0,4,3,0,2,1,1,2,2,1,1
57127241,1,0,0,0,0,1,2,4,1,1,1,1,3,2,1,0
57129567,0,0,0,1,0,0,8,3,0,2,2,0,1,1,1,0
57131909,0,0,1,0,0,0,4,2,0,1,1,0,2,2,0,0
57133772,1,0,1,0,0,0,7,4,1,3,1,1,1,1,1,0
57136630,1,0,0,0,0,1,8,3,0,1,2,0,3,3,0,0
57138056,0,0,1,0,0,0,7,0,0,3,1,0,2,2,1,1
57139880,0,0,1,0,0,0,9,3,1,1,2,0,2,2,0,1
57141051,0,0,1,0,0,0,8,2,0,1,1,0,3,3,0,0
57141800,1,1,0,0,0,0,1,2,2,0,1,1,2,2,1,0
57145151,1,0,0,0,0,1,8,3,1,1,1,0,3,3,0,0
57146734,0,1,0,0,1,0,9,3,0,1,1,0,3,3,0,0
57154779,1,0,1,1,1,0,,4,1,0,3,1,2,3,1,0
57159952,1,0,1,0,0,0,9,2,2,3,2,2,1,1,1,1
57160648,0,0,1,0,0,0,7,2,1,2,1,0,2,1,1,0
57165081,0,0,0,0,0,1,5,4,1,0,1,0,2,2,0,0
57166463,0,0,0,1,0,0,4,3,1,1,1,0,3,2,0,1
57167951,0,0,1,0,0,0,8,4,1,2,1,1,2,2,1,0
57177419,0,0,1,0,0,0,8,4,1,2,0,1,3,3,1,1
57178110,0,0,1,0,0,0,,3,0,2,1,0,2,2,0,1
57178982,0,0,0,1,0,0,,4,0,1,1,0,2,2,0,0
57186150,1,0,1,0,0,0,9,2,0,0,0,0,3,3,0,0
57186582,0,0,1,0,0,0,4,2,0,1,1,0,3,3,0,0
57192841,1,0,1,0,0,0,9,3,0,2,0,0,3,3,0,0
57196641,0,0,1,0,0,0,2,3,0,1,1,0,2,2,0,0
57199896,1,0,0,1,0,0,2,3,1,0,2,0,3,3,0,0
57200870,1,0,1,0,0,0,,3,1,2,1,1,2,2,1,1
57203993,0,0,1,0,0,0,9,4,0,0,1,1,3,2,1,0
57211375,1,1,,,,,9,2,1,2,1,1,2,2,1,0
57212347,1,0,1,0,1,0,,2,0,0,1,1,3,3,1,1
