schid,female,score,advice,medu,fedu,focc
1,0,85,2,1,1,
1,0,78,1,1,1,2
1,1,104,4,3,4,4
1,0,93,2,1,1,2
1,1,114,4,1,2,5
1,1,79,2,1,1,
1,1,95,2,2,2,5
1,1,98,2,1,1,2
1,0,77,2,1,1,
1,1,114,4,3,1,1
1,0,79,2,1,1,
1,0,84,2,1,1,2
1,0,101,2,1,1,2
1,1,98,2,1,1,
1,0,99,2,4,3,2
1,0,102,2,5,5,4
1,1,86,2,3,,
1,0,86,2,1,1,4
1,1,85,2,1,1,
1,1,108,2,1,1,
2,1,110,2,3,4,2
2,0,111,4,3,5,6
2,1,100,2,5,4,3
2,1,79,0,2,4,2
2,0,111,4,1,2,3
2,1,92,2,5,7,5
2,1,97,2,1,5,3
2,1,120,5,2,7,3
2,1,134,6,6,2,3
2,1,114,4,6,4,3
2,1,109,4,6,7,6
2,1,109,4,2,7,3
3,1,119,5,5,5,4
3,0,106,4,5,2,4
3,1,125,2,1,1,2
3,1,111,4,1,2,2
3,1,90,2,2,8,4
3,0,103,4,1,3,3
3,1,123,6,5,5,6
3,1,114,5,1,1,2
3,1,101,2,1,,
3,0,102,4,1,6,4
3,0,108,4,1,2,2
3,1,111,4,5,6,5
3,0,113,5,5,7,5
3,0,91,2,1,2,2
3,0,108,2,1,7,3
3,0,92,2,7,6,5
3,0,96,2,1,1,4
3,1,106,4,5,5,4
3,1,117,5,1,7,2
3,1,113,5,5,2,4
3,0,123,5,3,6,3
3,0,109,4,1,7,4
3,1,91,2,1,3,2
3,0,119,5,1,3,3
3,0,108,2,1,1,2
3,1,116,5,1,5,4
3,0,109,4,2,5,2
3,1,113,5,5,7,6
3,1,118,5,5,7,4
3,1,110,4,2,3,1
3,0,111,5,1,2,4
3,0,114,5,1,2,4
3,1,127,6,1,8,3
3,1,122,6,1,2,6
4,0,88,2,1,1,2
4,1,105,2,1,1,
4,0,104,2,1,1,3
4,1,99,2,1,1,3
4,0,93,2,2,1,3
4,0,92,2,1,1,3
4,0,96,2,1,1,2
4,0,106,2,1,1,5
4,0,119,5,1,1,3
4,0,108,4,1,1,2
4,1,106,2,1,2,2
4,1,114,5,2,2,3
4,1,108,2,1,1,2
4,0,110,6,2,1,2
4,0,105,2,1,3,5
4,1,95,2,1,2,1
4,0,104,2,3,1,1
4,1,103,1,1,1,3
4,0,129,5,2,2,2
4,1,114,4,1,1,1
4,0,87,1,1,1,3
4,1,101,2,1,1,3
4,0,100,2,1,1,2
4,0,94,2,1,1,2
4,0,95,2,1,1,1
4,0,87,2,1,1,1
4,0,111,,1,1,1
4,0,95,2,1,1,2
5,1,84,2,1,1,
5,0,117,4,3,3,3
5,0,83,2,4,6,5
5,0,87,2,4,6,5
5,0,129,6,2,2,3
5,1,77,2,1,1,2
5,0,78,1,1,1,2
5,1,103,4,3,2,2
5,1,100,2,2,2,4
5,0,104,4,1,3,2
5,0,91,1,1,1,3
5,0,122,6,1,4,1
5,1,88,2,1,4,2
5,0,86,1,1,1,4
5,0,123,6,4,2,
5,0,81,2,1,1,1
5,1,89,2,1,1,2
5,0,96,2,1,5,2
5,1,82,2,1,2,2
5,1,109,4,1,1,1
5,1,81,2,1,1,2
5,1,101,2,1,1,3
5,0,96,2,5,7,4
5,0,105,4,1,1,2
5,0,119,5,7,8,6
6,0,77,2,1,2,2
6,1,112,4,5,4,3
6,1,90,2,1,1,5
6,1,96,2,3,5,6
6,0,95,2,5,2,2
6,1,103,2,5,7,3
6,0,91,2,2,2,2
6,0,108,4,7,6,3
6,0,110,6,5,5,2
6,0,77,2,1,1,2
6,1,105,4,3,7,3
6,1,115,6,1,4,3
6,0,96,2,2,4,2
6,0,96,2,1,1,
6,1,79,2,1,4,
6,1,78,2,1,1,2
6,1,125,6,6,4,3
6,1,103,2,3,3,2
6,1,113,4,5,5,3
6,1,99,2,1,1,1
6,0,75,2,2,1,1
6,0,105,4,3,3,1
6,1,105,4,6,5,4
6,1,103,2,1,6,3
6,0,105,2,2,6,2
6,0,100,2,3,5,3
6,0,110,4,5,4,6
6,0,113,4,3,5,3
7,0,90,2,1,,
7,1,85,2,1,1,2
7,1,84,2,1,1,1
7,0,79,2,1,1,4
7,1,93,2,1,1,1
7,0,104,2,1,1,1
7,0,77,2,1,1,1
7,0,82,2,1,1,1
7,0,79,2,1,1,2
7,0,102,2,1,1,2
7,0,98,2,1,1,2
7,1,96,,,,
7,0,108,4,1,1,1
7,1,80,2,1,1,3
7,1,104,2,1,1,2
7,1,102,2,1,1,
7,1,102,2,1,1,2
7,1,80,2,1,1,
7,0,86,2,1,1,4
7,1,76,2,1,1,1
7,0,83,2,1,1,2
7,1,86,2,1,,
7,1,114,4,1,1,2
7,1,98,2,1,3,2
8,0,108,4,5,6,4
8,0,77,2,2,6,5
8,0,97,2,1,2,1
8,1,109,4,1,4,2
8,0,83,2,,,2
8,0,99,2,5,6,3
8,1,93,2,1,2,3
8,0,94,2,5,5,3
8,1,111,4,5,4,3
8,1,108,4,1,3,3
8,0,113,4,1,1,3
8,0,87,2,1,1,3
8,0,83,2,3,1,2
8,0,112,4,1,2,2
8,0,103,5,5,5,5
8,1,118,5,1,6,5
8,0,106,4,5,6,3
8,0,102,2,3,2,
8,0,94,2,1,2,2
8,0,87,4,2,3,6
8,0,111,4,1,3,
8,0,98,2,1,1,
8,1,109,4,5,8,
8,1,89,2,1,5,3
8,1,101,2,3,7,3
8,1,117,5,7,9,6
8,0,95,2,1,1,3
8,0,101,2,2,2,5
8,1,86,2,1,1,2
8,1,114,4,7,4,3
8,1,96,2,5,4,2
8,0,115,5,1,1,
8,1,95,2,1,2,3
8,1,76,2,1,5,3
8,0,97,2,1,1,2
8,0,87,2,1,6,3
9,1,100,2,3,3,4
9,1,97,2,1,1,1
9,0,110,4,3,2,1
9,1,87,2,,,
9,1,122,5,1,1,3
9,0,110,4,1,1,1
9,1,112,4,1,1,2
9,0,113,4,2,1,3
9,0,89,2,1,,
9,0,94,2,1,1,1
9,1,102,4,2,3,3
9,0,116,5,1,1,
9,0,88,2,,,3
9,1,103,2,1,1,4
9,0,86,2,3,4,3
9,0,112,4,1,1,2
9,0,106,2,3,5,3
9,0,101,2,1,1,1
9,0,104,2,1,3,2
9,0,95,2,2,4,3
9,0,96,2,1,1,2
9,0,94,2,1,2,3
9,1,92,2,6,2,2
9,0,83,2,3,2,2
9,1,121,5,1,1,1
10,0,104,4,1,7,5
10,1,86,2,5,7,3
10,0,105,4,7,7,
10,0,107,2,5,2,5
10,1,104,4,5,4,3
10,1,95,2,1,5,3
10,1,101,2,1,4,5
10,0,112,4,1,3,2
10,1,94,2,1,1,3
10,0,96,2,5,8,5
10,1,97,2,2,2,3
10,0,111,4,1,2,4
10,0,110,4,3,2,2
10,0,93,2,1,1,3
10,1,77,2,1,2,2
10,1,101,2,5,1,2
10,0,100,2,3,3,2
10,1,100,2,1,1,2
10,0,100,2,3,5,3
10,0,109,4,1,8,6
10,1,103,4,1,3,
10,1,79,2,1,1,2
10,0,109,4,1,2,3
10,1,106,4,5,7,3
10,1,112,4,,,2
10,0,114,4,3,2,2
10,0,125,6,5,6,5
11,1,78,2,1,1,4
11,1,109,4,1,1,2
11,1,79,2,1,1,
11,0,88,2,,,4
11,0,91,2,1,1,2
11,1,69,2,1,1,1
11,0,68,2,1,1,1
11,1,81,2,1,2,1
11,0,92,2,1,1,2
11,1,71,2,1,,
11,0,104,4,,,2
11,0,99,2,1,2,1
11,1,78,2,1,1,2
11,0,79,2,3,,
11,0,89,2,1,1,2
11,1,95,2,1,2,
11,1,87,2,1,1,1
11,1,105,4,1,1,
11,1,102,4,1,1,2
12,1,103,2,5,2,5
12,1,85,2,1,1,2
12,0,106,4,7,7,3
12,0,98,2,1,2,2
12,0,108,4,5,8,3
12,1,105,4,1,5,3
12,1,97,2,1,2,4
12,1,111,4,1,3,4
12,0,68,1,1,1,5
12,1,96,2,7,7,
12,1,90,2,1,1,2
12,1,104,2,2,3,3
12,0,87,2,1,2,2
12,0,113,4,1,1,1
12,1,104,4,1,1,2
12,1,101,2,3,3,3
12,0,102,2,1,6,5
12,0,94,2,3,1,4
12,1,96,2,1,1,5
12,0,101,4,6,7,5
12,0,101,2,1,1,
12,0,88,2,1,1,4
12,1,75,2,1,1,
12,1,105,4,1,2,2
12,0,79,2,6,6,4
12,0,111,5,1,4,2
12,1,87,2,1,1,3
13,0,91,1,1,1,3
13,1,88,1,1,1,1
13,0,118,4,1,3,1
13,1,83,1,3,1,1
13,1,104,2,,,
13,0,85,1,1,1,
13,1,93,2,1,1,2
13,0,75,2,1,1,
13,1,92,2,1,1,
13,1,83,1,1,1,2
13,0,96,2,1,1,2
13,1,92,1,1,1,2
13,0,96,2,3,5,
13,1,98,2,3,1,2
13,1,88,1,1,1,1
13,0,81,1,1,1,
13,0,90,2,1,1,1
13,0,77,2,1,2,
13,0,84,1,1,1,2
13,0,104,2,1,1,2
13,1,106,2,1,1,2
14,1,105,4,1,1,3
14,0,100,2,1,2,2
14,0,95,2,1,1,4
14,0,92,1,3,7,3
14,1,97,2,3,7,3
14,0,94,2,5,5,3
14,0,98,2,1,2,2
14,0,102,2,2,3,2
14,1,105,2,1,3,2
14,1,103,4,1,3,3
14,0,84,2,1,1,1
14,0,102,2,1,2,3
14,1,114,5,1,4,2
14,0,109,4,2,6,2
14,0,82,2,1,1,2
14,0,117,5,3,4,5
14,0,101,2,1,1,2
14,1,72,2,1,1,2
14,0,86,1,1,1,1
14,1,98,2,5,7,6
14,0,99,2,3,3,5
14,0,100,2,,,2
14,1,86,1,4,7,5
14,1,93,2,5,4,2
15,1,96,2,1,1,2
15,0,108,4,7,7,3
15,0,102,2,3,3,5
15,1,107,4,5,6,5
15,1,118,5,3,5,
15,1,105,4,5,3,2
15,0,114,4,1,4,5
15,0,121,5,5,7,5
15,0,108,4,6,6,3
15,0,87,2,7,5,1
15,0,93,2,7,5,1
15,1,101,2,1,1,1
15,0,108,4,1,1,3
15,0,89,2,3,5,5
15,1,106,4,1,1,2
15,1,110,4,1,6,3
15,1,96,2,3,5,3
15,0,136,6,5,8,4
15,0,107,2,1,2,2
15,1,95,2,1,3,1
15,0,120,5,3,4,5
15,1,133,6,5,8,5
15,0,110,4,3,7,6
15,0,116,5,5,6,3
15,0,78,1,1,1,3
15,0,101,2,,,3
15,0,105,2,5,7,3
15,0,94,2,1,1,
15,1,109,4,1,6,5
15,1,91,2,1,7,
16,1,79,2,1,4,5
16,0,100,2,1,5,5
16,0,87,2,1,2,4
16,0,120,5,1,3,3
16,0,115,5,3,2,2
16,0,116,5,7,9,6
16,1,109,5,7,8,6
16,0,100,5,3,5,4
16,0,112,4,5,2,3
16,1,104,2,2,4,4
16,0,100,2,2,4,4
16,1,112,4,1,8,3
16,1,118,4,3,7,5
16,0,97,2,1,5,2
16,0,110,4,5,6,6
16,0,112,4,8,7,3
16,0,107,4,4,7,5
16,1,112,4,5,5,5
16,0,114,4,1,1,2
16,0,113,4,1,1,1
16,0,102,4,1,2,3
17,0,92,2,3,4,4
17,0,111,4,4,8,5
17,1,99,2,3,1,
17,0,109,4,5,6,3
17,1,101,2,7,7,5
17,1,126,6,3,5,3
17,0,108,4,1,3,2
17,1,114,4,3,4,4
17,0,100,2,1,6,3
17,1,109,2,5,1,3
17,0,106,2,1,1,3
17,1,93,2,5,5,3
17,1,106,2,3,6,5
17,0,112,4,4,9,6
17,1,120,5,1,1,2
17,1,103,2,7,9,6
17,0,131,6,9,9,6
17,1,92,2,,,6
17,1,109,4,7,5,3
17,0,126,6,1,4,5
17,1,94,2,1,1,4
17,0,110,2,1,1,2
17,1,95,2,1,6,5
17,1,109,4,1,1,2
17,1,108,4,1,5,3
17,0,120,5,5,4,3
17,0,113,4,3,5,6
17,1,116,5,1,1,3
17,1,95,2,3,3,2
17,0,109,4,5,1,5
17,0,93,2,3,6,4
17,1,116,4,3,3,5
17,1,88,2,1,5,5
17,0,100,4,7,9,6
18,1,96,2,1,4,3
18,1,98,2,5,1,3
18,1,76,1,1,1,2
18,1,108,4,3,1,3
18,0,107,4,5,6,3
18,0,119,5,2,1,1
18,0,118,5,5,7,6
18,1,95,2,4,,
18,0,96,2,1,4,3
18,0,96,2,1,1,2
18,0,92,2,,,2
18,0,106,4,5,7,3
18,0,118,5,1,3,3
18,1,95,2,6,6,4
18,0,100,2,6,8,6
18,0,95,2,1,4,2
18,1,80,1,1,1,2
18,1,113,5,1,7,3
18,0,102,4,5,5,3
18,0,110,4,4,7,5
18,1,95,2,1,8,4
18,0,104,2,1,1,2
18,1,107,2,3,5,5
18,0,106,4,3,5,3
19,1,96,2,1,3,2
19,0,100,2,5,5,5
19,0,91,2,,,3
19,1,87,2,1,5,3
19,0,118,5,1,1,
19,0,108,4,3,1,1
19,0,120,5,,,2
19,1,102,2,1,3,2
19,0,93,2,1,1,5
19,0,98,2,1,6,
19,0,103,2,1,1,2
19,1,91,2,,,2
19,1,94,2,1,4,2
19,0,100,2,1,1,2
19,0,119,5,3,1,2
19,1,98,2,5,2,2
19,0,118,5,1,1,2
19,0,90,2,1,1,1
19,0,95,2,,,2
19,1,87,2,1,1,1
20,0,101,2,2,2,1
20,1,115,5,2,1,1
20,1,108,4,3,5,3
20,0,103,4,3,4,2
20,1,115,4,,,2
20,1,108,4,5,5,3
20,1,105,2,3,3,2
20,0,122,5,1,1,
20,0,92,2,1,3,2
20,1,112,5,5,3,5
20,0,98,2,3,2,4
20,0,98,4,1,3,5
20,0,104,4,1,1,2
20,0,103,4,1,1,2
20,1,87,1,1,1,2
20,1,101,2,1,4,3
20,0,103,4,5,2,2
20,0,102,2,5,2,2
20,0,77,1,1,1,3
20,0,93,2,1,1,
20,1,90,2,1,1,2
20,1,88,2,1,1,3
20,0,108,4,1,1,1
20,0,106,2,2,2,4
21,1,71,2,1,1,2
21,1,109,4,,,5
21,1,103,2,2,7,3
21,0,101,2,1,5,2
21,0,110,4,3,1,2
21,1,96,2,1,4,2
21,1,96,2,1,1,
21,1,104,4,5,5,3
21,0,107,2,2,5,5
21,0,108,2,2,4,2
21,1,106,2,1,1,5
21,0,91,2,2,3,2
21,1,85,2,2,1,2
21,1,81,4,5,5,3
21,0,111,4,1,2,3
21,0,91,2,1,1,
21,0,112,4,5,5,6
21,0,113,4,7,7,6
21,1,101,2,1,1,5
21,1,92,2,1,1,2
21,0,95,2,1,3,2
21,0,86,2,1,1,1
21,0,83,2,6,3,3
21,1,97,2,1,5,5
21,1,108,4,1,4,2
21,1,100,2,1,4,5
21,1,110,4,1,4,5
22,0,110,2,1,3,5
22,1,93,2,5,3,2
22,1,70,2,5,3,2
22,1,106,4,1,1,3
22,0,99,2,1,4,2
22,1,87,2,3,,
22,1,101,2,5,1,3
22,1,96,2,3,7,6
22,0,102,4,5,5,3
22,0,94,2,1,3,3
22,1,87,2,1,4,2
22,0,110,4,1,1,1
22,0,89,2,1,1,
22,1,78,2,6,3,6
22,1,129,6,1,7,2
22,0,114,4,1,3,2
22,0,107,4,4,5,3
22,1,110,4,,,2
22,0,103,2,2,4,5
22,0,94,2,,,
22,1,102,2,1,,3
22,1,123,5,1,7,3
22,1,101,2,4,9,6
22,0,112,4,1,1,
23,1,85,2,1,3,2
23,0,101,2,6,6,5
23,1,123,5,1,1,2
23,1,110,4,1,6,5
23,1,104,2,1,1,2
23,1,118,4,1,1,2
23,1,94,2,5,4,5
23,0,114,4,6,4,6
23,0,112,4,6,8,5
23,1,95,2,3,5,4
23,1,97,2,7,8,5
23,1,93,2,3,5,2
23,1,139,6,7,7,6
23,1,99,2,3,4,2
23,1,113,4,1,1,2
23,0,116,5,4,7,4
23,0,99,2,3,7,5
23,0,103,2,7,7,2
23,1,105,4,3,3,2
23,1,86,2,1,4,3
23,1,110,4,6,5,3
23,0,108,2,4,4,3
23,1,108,4,5,6,5
23,0,85,2,3,3,3
23,0,118,5,5,7,5
23,0,115,5,7,7,3
23,1,97,2,5,,
23,1,128,6,8,8,6
23,1,93,2,1,3,3
23,1,107,4,6,6,3
23,0,98,2,5,4,2
23,0,103,2,5,7,2
23,0,90,2,1,6,5
