"","id","sex","age","race_eth","gpa","ever_susp_exp","ever_smoke_f"
"1",57103869,"Male",17,"Black",0.767,"Yes","Yes"
"2",57111071,"Male",13,"White",NA,"No",NA
"3",57118381,"Female",11,"White",3.156,"No",NA
"4",57118943,"Female",15,"White",NA,"No","No"
"5",57120005,"Male",12,"White",NA,"No","No"
"6",57120371,"Female",18,"White",2.386,"No",NA
"7",57121404,"Female",15,"White",NA,"No","Yes"
"8",57121476,"Female",13,"Latinx",1.875,"Yes","Yes"
"9",57127241,"Female",12,"Asian",NA,"No",NA
"10",57129567,"Male",13,"Black",0.843,"Yes","No"
"11",57131909,"Male",13,"White",1.433,"No",NA
"12",57133772,"Female",12,"White",NA,"No","No"
"13",57136630,"Female",14,"Asian",NA,"No","Yes"
"14",57138056,"Male",12,"White",0.3,"Yes","Yes"
"15",57139880,"Male",12,"White",NA,"No",NA
"16",57141051,"Male",14,"White",3.643,"No","Yes"
"17",57141800,"Female",12,"Latinx",1.83,"No",NA
"18",57145151,"Female",14,"Asian",3.981,"No","No"
"19",57146734,"Male",12,"Latinx",3.211,"Yes",NA
"20",57154779,"Female",12,"Black",0,"Yes","Yes"
"21",57159952,"Female",15,"White",3.691,"No","Yes"
"22",57160648,"Male",16,"White",1.34,"Yes","Yes"
"23",57165081,"Male",14,"Asian",2.375,"Yes",NA
"24",57166463,"Male",11,"Black",NA,"Yes","No"
"25",57167951,"Male",13,"White",3.455,"No",NA
"26",57177419,"Male",13,"White",NA,"No","No"
"27",57178110,"Male",13,"White",NA,"No","No"
"28",57178982,"Male",13,"Black",1.45,"No","No"
"29",57186150,"Female",15,"White",3.333,"No",NA
"30",57186582,"Male",16,"White",NA,"Yes","Yes"
"31",57192841,"Female",14,"White",NA,"No","No"
"32",57196641,"Male",16,"White",NA,"Yes","No"
"33",57199896,"Female",14,"Black",2.612,"Yes","Yes"
"34",57200870,"Female",17,"White",2.147,"Yes","Yes"
"35",57203993,"Male",14,"White",2.063,"Yes","Yes"
"36",57211375,"Female",13,"Latinx",NA,"Yes","No"
"37",57212347,"Female",16,"White",1.143,"Yes","No"
"38",57212679,"Male",14,"White",1.254,"No",NA
"39",57213037,"Male",17,"Latinx",1.769,"Yes",NA
"40",57213527,"Male",16,"White",2.434,"No","No"
"41",57214806,"Female",16,"White",NA,"No",NA
"42",57217465,"Female",13,"Latinx",2.772,"No","No"
"43",57218874,"Male",13,"Black",2.074,"No","Yes"
"44",57220133,"Male",15,"White",0.889,"Yes",NA
"45",57220955,"Female",15,"White",3.948,"No",NA
"46",57228523,"Male",18,"Black",1.13,"Yes","No"
"47",57230940,"Male",12,"White",2.625,"No","No"
"48",57231300,"Female",16,"White",3.069,"No",NA
"49",57232895,"Male",16,"White",NA,"No","No"
"50",57233403,"Male",16,"White",NA,"No","Yes"
"51",57235039,"Female",17,"White",2.891,"No","Yes"
"52",57239363,"Male",14,"White",0.529,"Yes","Yes"
"53",57239974,"Female",13,"White",2.511,"No","Yes"
"54",57241075,"Female",13,"White",1.5,"No",NA
"55",57242885,"Female",16,"White",3.667,"No","No"
"56",57245293,"Male",14,"Black",0.286,"No",NA
"57",57245315,"Female",15,"Black",1.684,"Yes",NA
"58",57245379,"Female",15,"White",NA,"No",NA
"59",57248884,"Female",16,"White",2.036,"No","Yes"
"60",57249576,"Female",15,"White",1.725,"No","Yes"
"61",57256290,"Male",15,"White",1.32,"Yes","No"
"62",57262270,"Female",13,"White",0,"No","Yes"
"63",57263513,"Male",15,"White",1.103,"Yes","Yes"
"64",57265490,"Female",14,"Black",2,"No","No"
"65",57272274,"Female",15,"Black",0.294,"No","No"
"66",57275298,"Female",13,"Black",2.3,"Yes",NA
"67",57277290,"Female",14,"White",NA,"No","Yes"
"68",57279640,"Male",12,"Latinx",2.138,"No","No"
"69",88122937,"Male",12,"White",NA,"No",NA
"70",88191219,"Male",14,"White",0.5,"Yes","Yes"
"71",88191364,"Male",17,"White",2.314,"Yes",NA
"72",88202138,"Female",16,"Black",1.224,"No","Yes"
"73",88251811,"Male",16,"White",2.216,"No",NA
"74",88268811,"Male",16,"Black",1.475,"Yes","Yes"
"75",90316053,"Female",12,"White",2.957,"No","Yes"
"76",90316656,"Male",12,"White",3.593,"No","No"
"77",90500059,"Female",17,"Latinx",3.293,"No","No"
"78",90500459,"Female",14,"Black",1.571,"No","No"
"79",90500516,"Female",17,"White",2.54,"Yes",NA
"80",90500914,"Male",17,"Black",2.824,"No","No"
"81",90503807,"Male",15,"Asian",NA,"Yes",NA
"82",90504104,"Female",15,"Black",NA,"No","No"
"83",90504142,"Female",17,"White",2.304,"No",NA
"84",90504220,"Male",15,"White",NA,"No","No"
"85",90504248,"Male",17,"Latinx",1.189,"Yes","Yes"
"86",90504500,"Female",15,"Black",3.137,"No","No"
"87",90504504,"Female",14,"Black",NA,"No",NA
"88",90504603,"Male",14,"Black",1.745,"No","No"
"89",90506040,"Female",17,"Asian",0.769,"Yes","Yes"
"90",90506094,"Female",14,"Black",2.204,"No",NA
"91",90506203,"Female",16,"White",3.347,"Yes","Yes"
"92",90506236,"Female",14,"White",3.839,"No","Yes"
"93",90506268,"Male",14,"Latinx",2.041,"Yes",NA
"94",90506372,"Female",18,"White",3.469,"No",NA
"95",90506428,"Female",15,"Latinx",2.058,"No","No"
"96",90506472,"Female",16,"White",1.864,"Yes",NA
"97",90506828,"Female",15,"Latinx",NA,"Yes",NA
"98",90506849,"Female",12,"Asian",2.438,"No",NA
"99",90508033,"Female",17,"White",2.702,"No",NA
"100",90508165,"Female",14,"Black",2.357,"No",NA
"101",90508577,"Female",15,"Latinx",NA,"No","Yes"
