id,female,hispanic,white,black,native,asian,language,grade,medu,fedu,prtedu,gpa,gpa_5cat,gpa_3cat,health,sleepenough,repeating,skipping,oos,expelled,tsr,ssr,education,income,jail,suicidethought,income_log,q1,q2,q3,q4,q5,q6,q7,q8
57103869,0,0,0,1,0,0,English,12,11,,11,0.77,0,0,1,1,1,1,1,0,4,4,11,9999998,1,0,16.12,3,0,0,0,3,3,0,0
57111071,0,0,1,0,0,0,English,8,17,,17,3.21,2,2,3,0,0,0,0,0,1,3,15,27000,0,0,10.2,0,0,0,0,3,3,0,0
57118381,1,0,1,0,0,0,English,7,17,13,17,3.16,2,2,2,1,0,0,0,0,1,1,15,19000,0,0,9.85,0,0,0,0,3,3,0,0
57118943,1,0,1,0,0,0,English,10,18,17,18,2.91,1,1,3,0,0,0,0,0,1,1,18,40000,0,0,10.6,1,0,1,0,2,2,1,1
57120005,0,0,1,0,0,0,English,7,17,17,17,3.59,3,2,3,1,0,0,0,0,1,2,17,78000,0,0,11.26,0,0,0,0,3,3,0,1
57120371,1,0,1,0,0,0,English,12,13,13,13,2.39,1,1,2,0,0,0,0,0,1,0,13,18000,0,1,9.8,0,2,0,1,2,2,1,0
57121404,1,0,1,0,0,0,English,10,18,,18,3.58,3,2,4,0,0,0,0,0,1,0,19,35000,0,0,10.46,0,0,1,0,3,3,0,0
57121476,1,0,0,0,0,0,Spanish,8,13,,13,1.88,0,0,3,0,0,0,1,0,0,0,13,30000,1,1,10.31,0,2,1,1,2,2,1,1
57127241,1,0,0,0,0,1,English,7,11,11,11,3.04,2,2,4,0,0,0,0,0,0,0,15,14000,0,0,9.55,1,1,1,1,3,2,1,0
57129567,0,0,0,1,0,0,English,7,17,,17,0.84,0,0,3,0,1,0,1,0,1,1,13.5,15000,1,0,9.62,0,2,2,0,1,1,1,0
57131909,0,0,1,0,0,0,English,7,13,,13,1.43,0,0,2,1,1,0,0,0,1,1,14,14999,0,0,9.62,0,1,1,0,2,2,0,0
57133772,1,0,1,0,0,0,English,7,13,15,15,3.21,2,2,4,1,0,0,0,0,0,1,14,23000,0,0,10.04,1,3,1,1,1,1,1,0
57136630,1,0,0,0,0,1,English,9,17,13,17,3.44,3,2,3,0,0,0,0,0,1,2,15,38000,0,0,10.55,0,1,2,0,3,3,0,0
57138056,0,0,1,0,0,0,English,9,,15,15,0.3,0,0,,1,0,0,1,1,3,3,15,9999998,1,0,16.12,0,3,1,0,2,2,1,1
57139880,0,0,1,0,0,0,English,7,18,,18,3.16,2,2,3,0,0,0,0,0,2,2,17,35000,0,0,10.46,1,1,2,0,2,2,0,1
57141051,0,0,1,0,0,0,English,9,17,17,17,3.64,3,2,2,0,0,0,0,0,0,2,17,24000,0,0,10.09,0,1,1,0,3,3,0,0
57141800,1,0,0,0,0,0,Spanish,7,8,8,8,1.83,0,0,2,1,0,0,0,0,0,1,14,26000,0,0,10.17,2,0,1,1,2,2,1,0
57145151,1,0,0,0,0,1,English,9,17,17,17,3.98,4,2,3,1,0,0,0,0,0,1,17,30000,0,0,10.31,1,1,1,0,3,3,0,0
57146734,0,0,0,0,1,0,English,7,18,,18,3.21,2,2,3,1,0,0,1,0,2,1,20,8000,1,0,8.99,0,1,1,0,3,3,0,0
57154779,1,0,1,1,1,0,English,7,,,,0,0,0,4,2,0,0,1,0,3,0,11,0,0,0,0,1,0,3,1,2,3,1,0
57159952,1,0,1,0,0,0,English,10,18,17,18,3.69,3,2,2,0,1,0,0,0,1,0,22,87000,0,0,11.37,2,3,2,2,1,1,1,1
