id,age,female,hispanic,white,black,native,asian,prtedu,health,q1,q2,q3,q4,q5,q6,q7,q8
57101310,17,1,0,0,1,0,0,7,1,0,0,2,0,3,3,0,0
57103869,17,0,0,0,1,0,0,2,1,3,0,0,0,3,3,0,0
57109625,13,0,0,1,0,0,0,1,4,0,0,0,0,3,2,1,0
57111071,13,0,0,1,0,0,0,8,3,0,0,0,0,3,3,0,0
57113943,15,0,0,0,1,0,0,7,2,0,0,1,0,2,3,0,0
57117542,15,0,0,1,0,0,0,5,3,0,0,0,0,2,2,1,0
57118381,11,1,0,1,0,0,0,8,2,0,0,0,0,3,3,0,0
57118943,15,1,0,1,0,0,0,9,3,1,0,1,0,2,2,1,1
57120005,12,0,0,1,0,0,0,8,3,0,0,0,0,3,3,0,1
57120046,17,0,1,0,0,0,0,,3,0,1,0,0,2,3,0,0
57120371,18,1,0,1,0,0,0,4,2,0,2,0,1,2,2,1,0
57121404,15,1,0,1,0,0,0,9,4,0,0,1,0,3,3,0,0
57121476,13,1,1,0,0,0,0,4,3,0,2,1,1,2,2,1,1
57127241,12,1,0,0,0,0,1,2,4,1,1,1,1,3,2,1,0
57129567,13,0,0,0,1,0,0,8,3,0,2,2,0,1,1,1,0
57131432,15,0,1,1,0,0,0,1,4,0,1,0,0,2,3,0,0
57131909,13,0,0,1,0,0,0,4,2,0,1,1,0,2,2,0,0
57133772,12,1,0,1,0,0,0,7,4,1,3,1,1,1,1,1,0
57134457,14,1,0,1,0,0,0,8,2,1,2,0,0,3,3,0,0
57134967,12,1,0,0,1,0,0,,3,1,2,0,2,0,1,2,2
57134970,14,1,0,0,1,0,0,2,3,1,2,1,1,1,1,1,1
57135078,14,1,0,1,0,0,0,4,1,0,2,0,0,2,3,0,0
57136630,14,1,0,0,0,0,1,8,3,0,1,2,0,3,3,0,0
57138056,12,0,0,1,0,0,0,7,0,0,3,1,0,2,2,1,1
57139880,12,0,0,1,0,0,0,9,3,1,1,2,0,2,2,0,1
57141051,14,0,0,1,0,0,0,8,2,0,1,1,0,3,3,0,0
57141800,12,1,1,0,0,0,0,1,2,2,0,1,1,2,2,1,0
57144659,16,0,0,0,1,0,0,2,4,0,0,1,0,3,3,0,1
57145151,14,1,0,0,0,0,1,8,3,1,1,1,0,3,3,0,0
57145731,18,0,0,0,1,0,0,8,3,1,1,1,1,2,2,1,0
57146734,12,0,1,0,0,1,0,9,3,0,1,1,0,3,3,0,0
57153160,17,0,1,1,1,1,0,4,3,0,0,1,0,3,2,1,0
57154249,17,1,0,1,0,0,0,,2,0,0,1,0,2,2,0,0
57154779,12,1,0,1,1,1,0,,4,1,0,3,1,2,3,1,0
57157723,13,0,0,1,0,0,0,2,2,1,3,2,1,1,1,1,2
57159779,12,0,0,0,0,0,1,,3,2,2,1,1,3,3,1,0
57159952,15,1,0,1,0,0,0,9,2,2,3,2,2,1,1,1,1
57160648,16,0,0,1,0,0,0,7,2,1,2,1,0,2,1,1,0
57163116,16,0,0,1,0,0,0,4,3,1,2,1,1,1,1,1,0
57163657,13,1,0,1,0,0,0,9,4,0,0,0,0,3,3,0,0
57165081,14,0,0,0,0,0,1,5,4,1,0,1,0,2,2,0,0
57165288,17,1,0,1,0,0,0,,3,1,1,1,1,1,3,1,0
57166019,14,0,0,1,0,0,0,,2,0,1,1,1,2,1,1,1
57166463,11,0,0,0,1,0,0,4,3,1,1,1,0,3,2,0,1
57167951,13,0,0,1,0,0,0,8,4,1,2,1,1,2,2,1,0
57177419,13,0,0,1,0,0,0,8,4,1,2,0,1,3,3,1,1
57177942,16,0,0,1,0,0,0,5,3,0,0,1,0,3,3,1,0
57178110,13,0,0,1,0,0,0,,3,0,2,1,0,2,2,0,1
57178982,13,0,0,0,1,0,0,,4,0,1,1,0,2,2,0,0
57179591,13,1,0,1,0,0,0,4,3,1,2,1,1,2,1,1,0
57185559,19,0,0,1,0,0,0,2,4,1,0,2,0,3,3,1,0
57186150,15,1,0,1,0,0,0,9,2,0,0,0,0,3,3,0,0
57186582,16,0,0,1,0,0,0,4,2,0,1,1,0,3,3,0,0
57188247,15,1,0,0,1,0,0,4,3,3,0,2,1,1,0,2,0
57191909,17,1,0,1,0,0,0,2,2,2,2,1,2,1,1,2,0
57191910,12,1,0,1,0,0,0,7,4,1,0,2,0,2,2,0,0
57192841,14,1,0,1,0,0,0,9,3,0,2,0,0,3,3,0,0
57193349,16,0,0,0,1,0,0,4,3,0,0,1,1,2,3,0,0
57196641,16,0,0,1,0,0,0,2,3,0,1,1,0,2,2,0,0
57197327,18,0,0,1,0,0,0,2,2,0,0,1,1,2,2,1,0
57198440,17,0,0,0,1,0,0,9,4,0,2,1,0,3,3,0,0
57199896,14,1,0,0,1,0,0,2,3,1,0,2,0,3,3,0,0
57200870,17,1,0,1,0,0,0,,3,1,2,1,1,2,2,1,1
57203993,14,0,0,1,0,0,0,9,4,0,0,1,1,3,2,1,0
57210612,15,0,0,0,1,0,0,8,3,1,0,3,0,3,3,0,0
57211375,13,1,1,8,8,8,8,9,2,1,2,1,1,2,2,1,0
57212347,16,1,0,1,0,1,0,,2,0,0,1,1,3,3,1,1
57212679,14,0,0,1,0,0,0,8,4,0,1,1,0,2,2,1,1
57212861,12,0,0,0,1,0,0,5,2,1,2,3,3,3,3,3,1
57213037,17,0,1,0,0,0,0,2,4,0,0,0,0,3,3,0,0
57213527,16,0,0,1,0,0,1,8,1,1,1,1,0,3,2,0,1
57214806,16,1,0,1,0,1,0,2,2,1,2,0,1,3,3,1,1
57214893,14,0,0,0,1,0,0,8,4,0,0,0,0,3,3,0,0
57217465,13,1,1,0,0,1,0,1,3,1,1,1,0,2,2,1,0
57217613,13,0,0,1,0,0,0,4,1,0,3,1,0,2,2,1,0
57218874,13,0,0,0,1,0,0,9,3,1,0,1,0,3,3,0,0
57220133,15,0,0,1,0,0,0,2,2,0,2,0,0,2,3,0,1
57220692,17,0,0,1,0,0,0,6,3,0,0,1,1,2,2,0,0
57220955,15,1,0,1,0,0,0,9,4,0,2,1,0,3,3,1,0
57228523,18,0,0,1,1,0,0,4,4,0,1,0,0,3,3,0,0
57230663,18,1,1,0,0,0,0,1,3,1,2,1,1,1,0,0,0
57230940,12,0,0,1,0,0,0,4,3,0,1,0,0,2,3,0,0
57231300,16,1,0,1,0,0,0,9,3,0,1,1,0,2,3,1,0
57231320,15,1,0,1,0,0,0,9,3,0,1,1,0,2,2,0,0
57231603,15,0,0,0,0,0,1,8,4,0,3,1,1,2,2,0,1
57232895,16,0,0,1,0,0,0,7,3,0,2,0,0,2,2,0,0
57233403,16,0,0,1,0,0,0,4,2,1,2,0,0,2,2,0,1
57234514,16,1,0,1,0,0,0,6,2,0,0,0,0,3,3,0,0
57235039,17,1,0,1,0,0,0,,3,0,0,2,0,2,2,0,0
57239363,14,0,0,1,0,0,0,6,4,0,0,0,0,2,2,0,0
57239974,13,1,0,1,0,0,0,8,3,2,2,3,1,3,3,2,0
57241075,13,1,0,1,0,0,0,4,2,1,2,0,1,1,1,2,0
57241170,17,1,0,0,1,0,0,2,1,1,2,1,1,1,1,0,0
57242812,16,0,0,0,1,0,0,5,4,1,2,1,0,1,1,1,1
57242885,16,1,0,1,0,0,0,7,4,0,0,1,0,3,3,0,0
57245293,14,0,0,0,1,0,0,4,3,1,0,0,0,3,3,0,0
57245315,15,1,0,0,1,0,0,4,4,0,0,2,0,3,3,0,0
57245379,15,1,0,1,0,0,0,9,4,0,2,1,0,3,3,0,0
57248884,16,1,0,1,0,0,0,4,3,1,0,2,0,3,3,1,0
57249576,15,1,0,1,0,0,0,4,3,0,1,0,1,2,2,0,0
57251197,12,1,0,0,1,0,0,7,3,1,0,0,0,3,3,1,0
57256290,15,0,0,1,0,0,0,4,1,0,1,0,0,3,3,0,0
57258682,13,0,1,1,0,0,0,2,3,1,2,1,1,2,3,1,0
57258751,13,1,0,0,0,0,0,,4,0,0,0,0,2,3,0,0
57262270,13,1,0,1,0,0,0,4,4,0,1,1,0,2,2,1,1
57263513,15,0,0,1,0,0,0,8,2,0,0,0,0,2,2,0,0
57265490,14,1,0,0,1,0,0,8,3,1,0,1,1,2,2,1,0
57268298,15,0,0,1,0,0,0,7,0,3,3,2,3,0,0,3,2
57272130,17,1,0,1,0,0,0,7,1,3,3,2,1,1,1,1,1
