id,school,classroom,fsi_b01,fsi_b02,fsi_b03,fsi_b04,fsi_b05,fsi_b06,fsi_b07,fsi_b08,fsi_b09,fsi_b10,fsi_b11,fsi_b12,fsi_b13,fsi_b14,fsi_b15,fsi_b16,fsi_b17,fsi_b18,fsi_b19,fsi_b20,total,locale,class_size,avg_age,pct_female,pct_sped,pct_white,pct_black,pct_hispanic
1,1,1,2,2,2,2,2,2,0,2,2,0,2,2,2,2,2,2,2,1,2,1,34,Subruban,21,68.5,0.476190476190476,0.0952380952380952,0.333333333333333,0.0476190476190476,0.523809523809524
2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,40,Subruban,21,69.26,0.571428571428571,0.142857142857143,0.380952380952381,0.0952380952380952,0.428571428571429
3,1,1,0,0,2,2,2,2,0,0,0,0,0,0,0,1,0,0,1,0,0,2,12,Subruban,21,68.5,0.476190476190476,0.0952380952380952,0.333333333333333,0.0476190476190476,0.523809523809524
4,1,3,2,0,2,0,2,0,2,0,2,0,2,0,2,2,2,2,2,2,2,0,26,Subruban,22,69.68,0.636363636363636,0.0454545454545455,0.363636363636364,0,0.454545454545455
5,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,40,Subruban,22,69.68,0.636363636363636,0.0454545454545455,0.363636363636364,0,0.454545454545455
6,1,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,Subruban,21,69.26,0.571428571428571,0.142857142857143,0.380952380952381,0.0952380952380952,0.428571428571429
7,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,38,Subruban,21,69.26,0.571428571428571,0.142857142857143,0.380952380952381,0.0952380952380952,0.428571428571429
8,1,2,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,1,2,2,2,25,Subruban,21,69.26,0.571428571428571,0.142857142857143,0.380952380952381,0.0952380952380952,0.428571428571429
9,1,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,37,Subruban,21,69.26,0.571428571428571,0.142857142857143,0.380952380952381,0.0952380952380952,0.428571428571429
10,1,2,2,0,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,2,2,35,Subruban,21,69.26,0.571428571428571,0.142857142857143,0.380952380952381,0.0952380952380952,0.428571428571429
11,1,2,0,0,2,2,2,0,2,2,2,2,2,1,2,2,2,2,2,2,2,0,31,Subruban,21,69.26,0.571428571428571,0.142857142857143,0.380952380952381,0.0952380952380952,0.428571428571429
12,1,2,0,0,2,0,0,0,2,2,0,2,1,1,0,1,0,1,1,1,1,1,16,Subruban,21,69.26,0.571428571428571,0.142857142857143,0.380952380952381,0.0952380952380952,0.428571428571429
13,1,2,0,2,2,2,2,0,2,2,2,0,2,2,2,2,2,2,2,2,2,2,34,Subruban,21,69.26,0.571428571428571,0.142857142857143,0.380952380952381,0.0952380952380952,0.428571428571429
14,1,2,2,0,2,0,0,0,2,0,2,0,2,2,2,2,2,2,0,0,0,1,21,Subruban,21,69.26,0.571428571428571,0.142857142857143,0.380952380952381,0.0952380952380952,0.428571428571429
15,1,2,2,2,2,0,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,1,33,Subruban,21,69.26,0.571428571428571,0.142857142857143,0.380952380952381,0.0952380952380952,0.428571428571429
16,1,2,2,2,0,2,0,2,0,2,2,2,1,0,1,1,2,0,2,1,1,1,24,Subruban,21,69.26,0.571428571428571,0.142857142857143,0.380952380952381,0.0952380952380952,0.428571428571429
17,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Subruban,21,69.26,0.571428571428571,0.142857142857143,0.380952380952381,0.0952380952380952,0.428571428571429
18,1,2,0,0,0,0,0,0,0,0,0,2,1,2,2,0,2,0,0,2,0,2,13,Subruban,21,69.26,0.571428571428571,0.142857142857143,0.380952380952381,0.0952380952380952,0.428571428571429
19,1,2,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,7,Subruban,21,69.26,0.571428571428571,0.142857142857143,0.380952380952381,0.0952380952380952,0.428571428571429
20,1,1,0,2,2,0,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,34,Subruban,21,68.5,0.476190476190476,0.0952380952380952,0.333333333333333,0.0476190476190476,0.523809523809524
21,1,1,0,0,2,0,0,0,0,0,2,0,0,0,2,0,2,2,0,0,0,0,10,Subruban,21,68.5,0.476190476190476,0.0952380952380952,0.333333333333333,0.0476190476190476,0.523809523809524
22,1,3,0,2,2,2,0,2,2,2,2,2,1,2,2,1,2,2,2,1,2,2,33,Subruban,22,69.68,0.636363636363636,0.0454545454545455,0.363636363636364,0,0.454545454545455
23,1,1,2,0,2,2,2,2,0,2,0,2,1,1,1,0,2,2,2,2,2,2,29,Subruban,21,68.5,0.476190476190476,0.0952380952380952,0.333333333333333,0.0476190476190476,0.523809523809524
24,1,1,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,35,Subruban,21,68.5,0.476190476190476,0.0952380952380952,0.333333333333333,0.0476190476190476,0.523809523809524
