stuid,time,gpa,female,hsgpa
1,0,2.3,1,2.8
1,1,2.1,1,2.8
1,2,3,1,2.8
1,3,3,1,2.8
1,4,3,1,2.8
1,5,3.3,1,2.8
2,0,2.2,0,2.5
2,1,2.5,0,2.5
2,2,2.6,0,2.5
2,3,2.6,0,2.5
2,4,3,0,2.5
2,5,2.8,0,2.5
3,0,2.4,1,2.5
3,1,2.9,1,2.5
3,2,3,1,2.5
3,3,2.8,1,2.5
3,4,3.3,1,2.5
3,5,3.4,1,2.5
4,0,2.5,0,3.8
4,1,2.7,0,3.8
4,2,2.4,0,3.8
4,3,2.7,0,3.8
4,4,2.9,0,3.8
4,5,2.7,0,3.8
5,0,2.8,0,3.1
5,1,2.8,0,3.1
5,2,2.8,0,3.1
5,3,3,0,3.1
5,4,2.9,0,3.1
5,5,3.1,0,3.1
6,0,2.5,1,2.9
6,1,2.4,1,2.9
6,2,2.4,1,2.9
6,3,2.3,1,2.9
6,4,2.7,1,2.9
6,5,2.8,1,2.9
7,0,2.4,0,2.3
7,1,2.4,0,2.3
7,2,2.8,0,2.3
7,3,2.6,0,2.3
7,4,3,0,2.3
7,5,3,0,2.3
8,0,2.8,1,3.9
8,1,2.8,1,3.9
8,2,3.1,1,3.9
8,3,3.3,1,3.9
8,4,3.3,1,3.9
8,5,3.4,1,3.9
9,0,2.8,0,2
9,1,2.7,0,2
9,2,2.7,0,2
9,3,3.1,0,2
9,4,3.1,0,2
9,5,3.5,0,2
10,0,2.8,0,2.8
10,1,2.8,0,2.8
10,2,3,0,2.8
10,3,2.7,0,2.8
10,4,3,0,2.8
10,5,3,0,2.8
11,0,2.6,1,3.9
11,1,2.9,1,3.9
11,2,3.2,1,3.9
11,3,3.6,1,3.9
11,4,3.6,1,3.9
11,5,3.8,1,3.9
12,0,2.6,1,2.9
12,1,3,1,2.9
12,2,2.3,1,2.9
12,3,2.9,1,2.9
12,4,3.1,1,2.9
12,5,3.3,1,2.9
13,0,2.8,0,3.7
13,1,3.1,0,3.7
13,2,3.5,0,3.7
13,3,3.6,0,3.7
13,4,3.9,0,3.7
13,5,3.9,0,3.7
14,0,2.4,1,3.5
14,1,3,1,3.5
14,2,2.9,1,3.5
14,3,3,1,3.5
14,4,3.3,1,3.5
14,5,3.4,1,3.5
15,0,2.2,0,3.6
15,1,2.7,0,3.6
15,2,2.6,0,3.6
15,3,2.6,0,3.6
15,4,2.8,0,3.6
15,5,2.8,0,3.6
16,0,2.5,1,2.9
16,1,2.7,1,2.9
16,2,2.8,1,2.9
16,3,2.7,1,2.9
16,4,2.8,1,2.9
16,5,2.8,1,2.9
17,0,2.6,0,2.4
17,1,2.2,0,2.4
17,2,2.6,0,2.4
17,3,2.5,0,2.4
17,4,2.6,0,2.4
17,5,2.8,0,2.4
18,0,2.4,0,2.5
18,1,2.9,0,2.5
18,2,2,0,2.5
18,3,2.6,0,2.5
18,4,2.5,0,2.5
18,5,2.7,0,2.5
19,0,2.5,1,2.3
19,1,2.3,1,2.3
19,2,3,1,2.3
19,3,2.9,1,2.3
19,4,2.9,1,2.3
19,5,2.9,1,2.3
20,0,2.8,0,3.4
