"","pupil","class","extrav","sex","texp","popular","popteach"
"1",1,1,5,"Female",24,6.3,6
"2",2,1,7,"Male",24,4.9,5
"3",3,1,4,"Female",24,5.3,6
"4",4,1,3,"Female",24,4.7,5
"5",5,1,5,"Female",24,6,6
"6",6,1,4,"Male",24,4.7,5
"7",7,1,5,"Male",24,5.9,5
"8",8,1,4,"Male",24,4.2,5
"9",9,1,5,"Male",24,5.2,5
"10",10,1,5,"Male",24,3.9,3
"11",11,1,5,"Female",24,5.7,5
"12",12,1,5,"Female",24,4.8,5
"13",13,1,5,"Male",24,5,5
"14",14,1,5,"Female",24,5.5,6
"15",15,1,5,"Female",24,6,5
"16",16,1,6,"Female",24,5.7,5
"17",17,1,4,"Male",24,3.2,2
"18",18,1,4,"Male",24,3.1,3
"19",19,1,7,"Female",24,6.6,7
"20",20,1,4,"Male",24,4.8,4
"21",1,2,8,"Female",14,6.4,6
"22",2,2,4,"Male",14,2.4,3
"23",3,2,6,"Male",14,3.7,4
"24",4,2,5,"Female",14,4.4,4
"25",5,2,5,"Female",14,4.3,4
"26",6,2,5,"Male",14,4,4
"27",7,2,4,"Female",14,3.8,5
"28",8,2,5,"Male",14,4.2,5
"29",9,2,6,"Female",14,5.1,4
"30",10,2,4,"Female",14,4.1,4
"31",11,2,6,"Female",14,4.6,5
"32",12,2,4,"Male",14,4.9,3
"33",13,2,4,"Male",14,3.1,4
"34",14,2,3,"Male",14,3.2,3
"35",15,2,6,"Male",14,4.4,5
"36",16,2,5,"Female",14,3.7,4
"37",17,2,5,"Female",14,6.1,6
"38",18,2,3,"Female",14,3.5,5
"39",19,2,4,"Male",14,2.9,3
"40",20,2,5,"Male",14,3.3,3
"41",1,3,5,"Male",13,4.2,4
"42",2,3,5,"Female",13,6,6
"43",3,3,4,"Female",13,4.6,5
"44",4,3,4,"Female",13,4.9,4
"45",5,3,6,"Male",13,4.7,3
"46",6,3,5,"Female",13,4.8,4
"47",7,3,5,"Male",13,2.8,3
"48",8,3,7,"Female",13,6.7,5
"49",9,3,4,"Female",13,4.9,5
"50",10,3,7,"Female",13,6.3,6
"51",11,3,6,"Female",13,5.6,6
"52",12,3,4,"Female",13,3.1,3
"53",13,3,5,"Female",13,3.5,4
"54",14,3,4,"Female",13,4.7,5
"55",15,3,6,"Male",13,4.3,4
"56",16,3,7,"Male",13,4.9,5
"57",17,3,6,"Female",13,5.9,6
"58",18,3,4,"Male",13,2.6,2
"59",1,4,3,"Female",20,4.1,4
"60",2,4,2,"Female",20,5.3,5
"61",3,4,5,"Female",20,6.1,7
"62",4,4,6,"Female",20,6,6
"63",5,4,6,"Female",20,6.3,7
"64",6,4,3,"Male",20,4,5
"65",7,4,6,"Male",20,5.3,7
"66",8,4,4,"Male",20,5.6,6
"67",9,4,5,"Male",20,5.2,6
"68",10,4,6,"Female",20,6.2,7
"69",11,4,6,"Male",20,6.1,5
"70",12,4,4,"Male",20,3.9,4
"71",13,4,3,"Male",20,4.8,4
"72",14,4,5,"Male",20,5.8,5
"73",15,4,6,"Male",20,4.9,6
"74",16,4,5,"Female",20,6.6,7
"75",17,4,4,"Female",20,5.6,6
"76",18,4,5,"Male",20,4.5,5
"77",19,4,4,"Male",20,5.4,6
"78",20,4,6,"Male",20,4.9,5
"79",21,4,4,"Male",20,5.4,4
"80",22,4,5,"Female",20,6.7,7
"81",23,4,7,"Male",20,6.3,6
"82",1,5,7,"Male",5,4.2,5
"83",2,5,4,"Female",5,4,4
"84",3,5,5,"Male",5,4.7,5
"85",4,5,4,"Female",5,4.7,5
"86",5,5,6,"Male",5,5.2,4
"87",6,5,7,"Male",5,5.8,5
"88",7,5,6,"Male",5,4.4,6
"89",8,5,4,"Female",5,3.8,5
"90",9,5,6,"Female",5,5.9,5
"91",10,5,8,"Male",5,7,7
"92",11,5,7,"Female",5,7.3,6
"93",12,5,6,"Female",5,5.6,6
"94",13,5,7,"Male",5,5.6,6
"95",14,5,6,"Female",5,6.3,7
"96",15,5,6,"Male",5,4.2,4
"97",16,5,5,"Female",5,4.6,5
"98",17,5,6,"Female",5,6.1,5
"99",18,5,6,"Male",5,5,5
"100",19,5,6,"Female",5,5.8,5
"101",20,5,5,"Male",5,5.5,6
"102",21,5,6,"Male",5,5.3,5
"103",1,6,4,"Male",8,4.1,4
"104",2,6,6,"Female",8,5.8,6
"105",3,6,5,"Female",8,4.2,4
"106",4,6,5,"Female",8,3.9,4
"107",5,6,4,"Female",8,5,4
"108",6,6,4,"Female",8,4.4,4
"109",7,6,6,"Male",8,4.3,5
"110",8,6,5,"Male",8,3.3,4
"111",9,6,4,"Female",8,3.1,4
"112",10,6,7,"Female",8,6.4,7
"113",11,6,5,"Male",8,3.5,3
"114",12,6,6,"Female",8,5.9,5
"115",13,6,5,"Female",8,4.2,5
"116",14,6,3,"Male",8,3.5,3
"117",15,6,4,"Female",8,4.6,5
"118",16,6,6,"Male",8,5.1,5
"119",17,6,5,"Male",8,4.2,3
"120",18,6,7,"Male",8,4.9,5
"121",19,6,5,"Male",8,3.6,4
"122",20,6,4,"Male",8,2.7,3
"123",1,7,6,"Female",17,5.8,5
"124",2,7,4,"Female",17,4.8,4
"125",3,7,4,"Male",17,4.4,4
"126",4,7,4,"Male",17,1.7,2
"127",5,7,4,"Male",17,3.6,3
"128",6,7,5,"Female",17,3.8,4
"129",7,7,4,"Male",17,4.1,3
"130",8,7,5,"Female",17,5.7,6
"131",9,7,6,"Male",17,2.9,4
"132",10,7,5,"Female",17,4.9,6
"133",11,7,5,"Male",17,5.1,4
"134",12,7,6,"Male",17,4,3
"135",13,7,4,"Male",17,3,4
"136",14,7,4,"Female",17,4.7,5
"137",15,7,7,"Male",17,2.8,4
"138",16,7,5,"Male",17,3.7,4
"139",17,7,6,"Female",17,5.1,5
"140",18,7,5,"Male",17,3.5,3
"141",19,7,5,"Female",17,4.7,4
"142",20,7,7,"Female",17,6,6
"143",21,7,5,"Male",17,4,5
"144",1,8,6,"Female",12,6.1,6
"145",2,8,5,"Male",12,3.2,3
"146",3,8,4,"Female",12,3.3,3
"147",4,8,7,"Female",12,5,5
"148",5,8,6,"Male",12,4.2,5
"149",6,8,7,"Female",12,5.6,5
"150",7,8,6,"Male",12,3.9,3
"151",8,8,5,"Female",12,4.5,4
"152",9,8,6,"Male",12,2.2,3
"153",10,8,5,"Female",12,4.2,4
"154",11,8,4,"Male",12,1.5,2
"155",12,8,5,"Male",12,3.2,3
"156",13,8,5,"Male",12,2.7,3
"157",14,8,5,"Female",12,4.1,4
"158",15,8,7,"Male",12,4.8,4
"159",16,8,5,"Male",12,3.5,3
"160",17,8,5,"Female",12,3.6,4
"161",18,8,7,"Female",12,5.5,5
"162",19,8,6,"Female",12,4.8,5
"163",20,8,5,"Female",12,3.5,2
"164",1,9,6,"Male",9,5.2,5
"165",2,9,5,"Female",9,6,5
"166",3,9,5,"Female",9,5.1,5
"167",4,9,6,"Female",9,5.3,6
"168",5,9,6,"Female",9,6.7,7
"169",6,9,5,"Male",9,3.6,4
"170",7,9,5,"Male",9,3.5,4
"171",8,9,5,"Male",9,3.9,4
"172",9,9,5,"Male",9,4.3,5
"173",10,9,5,"Male",9,4,4
"174",11,9,3,"Male",9,4.6,4
"175",12,9,4,"Female",9,4.5,4
"176",13,9,4,"Male",9,3.6,4
"177",14,9,5,"Male",9,2.6,3
"178",15,9,4,"Male",9,3.9,5
"179",16,9,6,"Male",9,5,5
"180",17,9,6,"Female",9,4.5,6
"181",18,9,7,"Female",9,7.3,6
"182",19,9,6,"Female",9,6.7,7
"183",20,9,4,"Male",9,2.9,4
"184",1,10,5,"Male",21,5.4,5
"185",2,10,6,"Female",21,6.3,5
"186",3,10,5,"Male",21,3.4,3
"187",4,10,4,"Female",21,4.9,5
"188",5,10,5,"Male",21,5.1,7
"189",6,10,6,"Female",21,7,6
"190",7,10,5,"Male",21,5.4,4
"191",8,10,5,"Male",21,4.9,4
"192",9,10,6,"Female",21,6.6,6
"193",10,10,5,"Female",21,5.8,6
"194",11,10,6,"Male",21,4.4,6
"195",12,10,6,"Male",21,4.9,5
"196",13,10,7,"Female",21,6,6
"197",14,10,6,"Male",21,4.8,3
"198",15,10,3,"Male",21,3.6,3
"199",16,10,5,"Male",21,5,6
"200",17,10,3,"Male",21,5.5,5
"201",18,10,6,"Male",21,5,4
"202",19,10,3,"Female",21,5.2,5
"203",20,10,6,"Female",21,5.4,7
"204",21,10,4,"Female",21,6,6
"205",22,10,6,"Female",21,5.7,6
"206",23,10,4,"Female",21,6.1,5
"207",24,10,5,"Female",21,5.2,5
"208",1,11,4,"Male",11,4.7,5
"209",2,11,5,"Female",11,5.5,5
"210",3,11,5,"Female",11,4.8,5
"211",4,11,6,"Male",11,4.9,5
"212",5,11,5,"Male",11,4.6,3
"213",6,11,6,"Female",11,4.6,5
"214",7,11,5,"Male",11,3.4,3
"215",8,11,7,"Female",11,5.6,7
"216",9,11,4,"Female",11,5.4,5
"217",10,11,5,"Female",11,5.6,5
"218",11,11,6,"Male",11,3.2,5
"219",12,11,6,"Male",11,5.1,6
"220",13,11,6,"Male",11,4.4,4
"221",14,11,6,"Female",11,4.8,6
"222",15,11,4,"Female",11,4.2,4
"223",16,11,5,"Male",11,4.3,3
"224",17,11,5,"Male",11,4.2,3
"225",18,11,6,"Male",11,4,5
"226",19,11,4,"Male",11,1.6,2
"227",20,11,5,"Female",11,4.9,5
"228",21,11,5,"Female",11,3.8,4
"229",22,11,4,"Male",11,4.1,4
"230",1,12,5,"Male",16,3.7,3
"231",2,12,4,"Female",16,4.8,5
"232",3,12,2,"Female",16,4.2,4
"233",4,12,7,"Female",16,5.7,7
"234",5,12,4,"Female",16,4.6,4
"235",6,12,3,"Male",16,3.8,4
"236",7,12,4,"Male",16,2.8,3
"237",8,12,6,"Male",16,4.7,5
"238",9,12,5,"Female",16,5.6,5
"239",10,12,3,"Female",16,2.8,4
"240",11,12,4,"Male",16,3.8,2
"241",12,12,3,"Male",16,2.4,4
"242",13,12,4,"Female",16,5.3,5
"243",14,12,4,"Male",16,3.5,4
"244",15,12,4,"Male",16,4.5,3
"245",16,12,5,"Male",16,4.5,4
"246",17,12,6,"Male",16,4.5,5
"247",2,13,4,"Female",19,6.5,6
"248",3,13,4,"Female",19,6.4,5
"249",4,13,6,"Male",19,6.2,6
"250",5,13,6,"Male",19,6.1,6
"251",6,13,5,"Female",19,5.6,7
"252",7,13,4,"Female",19,6.3,7
"253",8,13,6,"Male",19,6.2,7
"254",9,13,6,"Female",19,6.2,7
"255",10,13,6,"Male",19,5.7,6
"256",11,13,7,"Male",19,5.9,6
"257",12,13,3,"Female",19,5,5
"258",13,13,4,"Female",19,6.1,7
"259",14,13,4,"Male",19,4.5,5
"260",15,13,6,"Female",19,7.2,7
"261",16,13,6,"Male",19,6.3,7
"262",17,13,4,"Male",19,4.8,5
"263",18,13,7,"Female",19,8,8
"264",19,13,5,"Female",19,6,6
"265",20,13,5,"Female",19,7.7,7
"266",21,13,4,"Female",19,6.1,7
"267",1,14,7,"Male",2,3,3
"268",2,14,6,"Male",2,3.3,4
"269",3,14,9,"Male",2,5.3,6
"270",4,14,7,"Male",2,3.2,3
"271",5,14,6,"Male",2,3.6,5
"272",6,14,8,"Male",2,4.5,6
"273",7,14,5,"Male",2,1.4,2
"274",8,14,6,"Male",2,2.3,3
"275",9,14,6,"Male",2,2.8,3
"276",10,14,8,"Male",2,4.5,4
"277",11,14,7,"Male",2,3.9,4
"278",12,14,7,"Male",2,4.5,6
"279",13,14,7,"Male",2,3.1,4
"280",14,14,7,"Male",2,4.5,5
"281",15,14,6,"Male",2,2.3,2
"282",16,14,8,"Male",2,6.5,6
"283",17,14,6,"Male",2,3.1,3
"284",1,15,5,"Male",8,4.2,2
"285",2,15,5,"Male",8,3.4,4
"286",3,15,4,"Male",8,4,2
"287",4,15,4,"Male",8,3.1,1
