schid,stuid,pfemale,page,sfemale,match,attention,affective
6,0,1,38,0,0,0.283090421801741,0
6,1,1,44,0,0,-2.30516486324275,1
6,2,1,38,0,0,0.606622332432303,0
6,3,1,40,0,0,-0.363973399459382,0
6,4,1,36,0,0,0.606622332432303,0
6,5,1,36,0,0,0.606622332432303,0
6,6,1,40,0,0,-0.0404414888288201,0
6,9,1,39,0,0,0.606622332432303,0
13,0,1,37,0,0,0.661323973246367,0
13,1,1,39,1,1,-1.74349047492224,1
13,2,1,39,0,0,0.060120361204215,0
13,3,1,37,1,1,0.661323973246367,0
13,4,1,36,0,0,-0.541083250837936,1
13,5,1,36,1,1,0.661323973246367,1
13,6,1,38,0,0,0.661323973246367,0
13,7,1,35,1,1,0.661323973246367,1
13,8,1,40,0,0,-1.74349047492224,0
13,9,1,37,1,1,0.661323973246367,0
38,0,1,36,0,0,0.826242800485626,0
38,1,1,40,0,0,-1.60388308329563,0
38,2,1,36,0,0,0.826242800485626,1
38,3,1,37,0,0,0.826242800485626,0
38,4,1,39,0,0,0.826242800485626,0
38,5,1,41,0,0,-0.631832729783127,0
38,6,1,39,0,0,-0.145807553026875,0
38,7,1,38,0,0,-1.60388308329563,1
38,8,1,40,0,0,-0.145807553026875,0
38,9,1,37,0,0,0.826242800485626,0
43,0,1,44,0,0,-2.02110789584675,0
43,1,1,40,0,0,-1.19616589754195,1
43,2,1,37,0,0,0.866189098220035,0
43,3,1,39,0,0,0.866189098220035,0
43,4,1,40,0,0,0.453718099067637,0
43,5,1,40,0,0,0.453718099067637,0
43,6,1,42,0,0,-0.783694898389555,0
43,7,1,40,0,0,0.0412470999152401,0
43,8,1,37,0,0,0.866189098220035,0
43,9,1,40,0,0,0.453718099067637,0
80,0,1,40,1,1,-1.13707048722992,0
80,1,1,37,0,0,0.781735959970572,0
80,2,1,36,0,0,0.781735959970572,0
80,4,1,36,0,0,0.781735959970572,1
80,5,1,39,1,1,-0.497468338163091,0
80,6,1,40,0,0,-0.497468338163091,0
80,7,1,41,0,0,-1.77667263629675,0
80,8,1,38,1,1,0.781735959970572,0
80,9,1,34,0,0,0.781735959970572,1
83,0,1,42,0,0,-0.627291562985216,0
83,1,1,44,0,0,-1.36528163708547,0
83,2,1,39,0,0,1.21768362226542,0
83,3,1,44,0,0,-0.996286600035344,0
83,4,1,38,0,0,1.21768362226542,0
83,5,1,40,0,0,-0.258296525935089,0
83,6,1,42,0,0,-0.996286600035344,0
83,7,1,36,0,0,1.21768362226542,1
83,8,1,37,0,0,0.479693548165166,1
83,9,1,40,0,0,0.110698511115038,0
84,0,1,44,0,0,-1.00525986517353,0
