district,subject,grade,achievement,gap_gender,percent_ell,percent_sped,percent_frl
VALE SD 84,mth,3,2.53907216097918,0.973656634440184,0.049234137,0.12800875,0.62161022
VALE SD 84,rla,3,3.22984432897145,0.376142373098226,0.049234137,0.12800875,0.62161022
VALE SD 84,mth,4,3.08954187024392,-0.788240382202992,0.049234137,0.12800875,0.62161022
VALE SD 84,rla,4,4.36278620429887,-1.83025757641113,0.049234137,0.12800875,0.62161022
VALE SD 84,mth,5,4.57446236425607,0.835615948088582,0.049234137,0.12800875,0.62161022
VALE SD 84,rla,5,4.77801976304975,0.357031056334803,0.049234137,0.12800875,0.62161022
VALE SD 84,mth,6,6.0302452760982,0.86314316952479,0.049234137,0.12800875,0.62161022
VALE SD 84,rla,6,6.11476096721569,0.690999539266815,0.049234137,0.12800875,0.62161022
YAMHILL CARLTON SD 1,mth,3,3.1496945489932,-1.08708988216264,0.014354067,0.14066985,0.43351972
YAMHILL CARLTON SD 1,rla,3,3.32036622012997,-1.70379639415529,0.014354067,0.14066985,0.43351972
YAMHILL CARLTON SD 1,mth,4,2.78196956888339,-0.582765343186986,0.014354067,0.14066985,0.43351972
YAMHILL CARLTON SD 1,rla,4,3.16821012866023,-2.69530164990155,0.014354067,0.14066985,0.43351972
YAMHILL CARLTON SD 1,mth,5,6.48364524922916,-0.526000436230935,0.014354067,0.14066985,0.43351972
YAMHILL CARLTON SD 1,rla,5,6.48511372414373,-1.730903257635,0.014354067,0.14066985,0.43351972
YAMHILL CARLTON SD 1,mth,6,6.21499965818998,-0.174833078780312,0.014354067,0.14066985,0.43351972
YAMHILL CARLTON SD 1,rla,6,7.1043590573265,-1.06653389556968,0.014354067,0.14066985,0.43351972
NORTH SANTIAM SD 29J,mth,3,2.69553113315616,1.11628314196075,0.04557522,0.16637169,0.50749362
NORTH SANTIAM SD 29J,rla,3,2.8029513667215,0.103277972453332,0.04557522,0.16637169,0.50749362
NORTH SANTIAM SD 29J,mth,4,3.05926829680334,0.0292890863071347,0.04557522,0.16637169,0.50749362
NORTH SANTIAM SD 29J,rla,4,3.80586026865064,-0.494805502302535,0.04557522,0.16637169,0.50749362
NORTH SANTIAM SD 29J,mth,5,5.27406754076556,-0.166473989191044,0.04557522,0.16637169,0.50749362
NORTH SANTIAM SD 29J,rla,5,5.40527155551618,-1.16795739906408,0.04557522,0.16637169,0.50749362
NORTH SANTIAM SD 29J,mth,6,4.85867088656307,-0.360561734516627,0.04557522,0.16637169,0.50749362
NORTH SANTIAM SD 29J,rla,6,5.73565654187631,-1.03764906344315,0.04557522,0.16637169,0.50749362
HILLSBORO SD 1J,mth,3,2.08968819508832,0.467919208300905,0.15388347,0.16280988,0.46283218
HILLSBORO SD 1J,rla,3,2.49013970850575,-0.657295606274183,0.15388347,0.16280988,0.46283218
HILLSBORO SD 1J,mth,4,3.27421014120724,0.469682075368113,0.15388347,0.16280988,0.46283218
HILLSBORO SD 1J,rla,4,3.71236610252476,-0.0875078513643145,0.15388347,0.16280988,0.46283218
HILLSBORO SD 1J,mth,5,4.4441743633438,0.127292851929648,0.15388347,0.16280988,0.46283218
HILLSBORO SD 1J,rla,5,4.90795691392885,-0.799872320806803,0.15388347,0.16280988,0.46283218
HILLSBORO SD 1J,mth,6,5.90079657148085,0.308911553836501,0.15388347,0.16280988,0.46283218
HILLSBORO SD 1J,rla,6,6.32599942800671,-0.610098207900246,0.15388347,0.16280988,0.46283218
NORTH WASCO COUNTY SD 21,mth,3,1.21297230935362,-0.760491968341458,0.12595041,0.18115702,0.71156186
NORTH WASCO COUNTY SD 21,rla,3,1.72464073760309,-1.53291096037586,0.12595041,0.18115702,0.71156186
NORTH WASCO COUNTY SD 21,mth,4,2.57048311413529,0.587973469019602,0.12595041,0.18115702,0.71156186
NORTH WASCO COUNTY SD 21,rla,4,3.0342577196145,-0.81584227388121,0.12595041,0.18115702,0.71156186
NORTH WASCO COUNTY SD 21,mth,5,4.97940854889641,0.0236569509751046,0.12595041,0.18115702,0.71156186
NORTH WASCO COUNTY SD 21,rla,5,5.46605599150695,-1.64700625877986,0.12595041,0.18115702,0.71156186
NORTH WASCO COUNTY SD 21,mth,6,5.02043016092389,-0.666287418630555,0.12595041,0.18115702,0.71156186
NORTH WASCO COUNTY SD 21,rla,6,4.62313735865725,-0.89915887620941,0.12595041,0.18115702,0.71156186
GREATER ALBANY PUBLIC SD 8J,mth,3,2.15127924376285,0.220709150500291,0.063798532,0.14711438,0.46509394
GREATER ALBANY PUBLIC SD 8J,rla,3,2.5246679295191,-0.494516931530808,0.063798532,0.14711438,0.46509394
GREATER ALBANY PUBLIC SD 8J,mth,4,3.77419969664225,0.588462751959441,0.063798532,0.14711438,0.46509394
GREATER ALBANY PUBLIC SD 8J,rla,4,3.68565316351748,-0.378584487844475,0.063798532,0.14711438,0.46509394
GREATER ALBANY PUBLIC SD 8J,mth,5,4.99161034735582,-0.0612310129658928,0.063798532,0.14711438,0.46509394
GREATER ALBANY PUBLIC SD 8J,rla,5,4.98143338248931,-0.875127924421343,0.063798532,0.14711438,0.46509394
GREATER ALBANY PUBLIC SD 8J,mth,6,5.20218372173572,-0.20453033680811,0.063798532,0.14711438,0.46509394
GREATER ALBANY PUBLIC SD 8J,rla,6,5.57240386590097,-0.82347319358795,0.063798532,0.14711438,0.46509394
ASHLAND SD 5,mth,3,2.74100792084739,0.368147455222834,0.011235955,0.10963568,0.32375002
ASHLAND SD 5,rla,3,3.68810142065326,-1.04332559922371,0.011235955,0.10963568,0.32375002
ASHLAND SD 5,mth,4,4.95541731937188,-0.372730936752921,0.011235955,0.10963568,0.32375002
ASHLAND SD 5,rla,4,5.3520521367519,-1.27457009457449,0.011235955,0.10963568,0.32375002
ASHLAND SD 5,mth,5,5.66071115743697,0.536889270284924,0.011235955,0.10963568,0.32375002
ASHLAND SD 5,rla,5,6.39461964187568,-0.703673663979229,0.011235955,0.10963568,0.32375002
ASHLAND SD 5,mth,6,8.03433422949066,-1.39247835353691,0.011235955,0.10963568,0.32375002
ASHLAND SD 5,rla,6,7.22594839187643,-2.65494972738219,0.011235955,0.10963568,0.32375002
ATHENA-WESTON SD 29RJ,mth,3,2.18123912240482,-1.46087659314191,0,0.12173913,0.59429741
ATHENA-WESTON SD 29RJ,rla,3,2.57089176988695,-1.5180320180224,0,0.12173913,0.59429741
ATHENA-WESTON SD 29RJ,mth,4,2.33577212582749,-0.788353778488748,0,0.12173913,0.59429741
ATHENA-WESTON SD 29RJ,rla,4,2.41979059745351,-3.24208942815494,0,0.12173913,0.59429741
ATHENA-WESTON SD 29RJ,mth,5,3.43257388473102,0.025296626997149,0,0.12173913,0.59429741
ATHENA-WESTON SD 29RJ,rla,5,4.03728364983756,-0.485724265877752,0,0.12173913,0.59429741
ATHENA-WESTON SD 29RJ,mth,6,5.29536260334961,-3.93409682460909,0,0.12173913,0.59429741
ATHENA-WESTON SD 29RJ,rla,6,5.19128658955742,-3.02044999690329,0,0.12173913,0.59429741
BEAVERTON SD 48J,mth,3,3.96542815296296,0.555164147223854,0.12324786,0.13379732,0.36187303
BEAVERTON SD 48J,rla,3,4.37086869550183,-0.57173615914977,0.12324786,0.13379732,0.36187303
BEAVERTON SD 48J,mth,4,4.90354855738432,0.610744038688784,0.12324786,0.13379732,0.36187303
BEAVERTON SD 48J,rla,4,5.44635920064214,-0.472958326771499,0.12324786,0.13379732,0.36187303
BEAVERTON SD 48J,mth,5,5.89602441405089,0.109658247976667,0.12324786,0.13379732,0.36187303
BEAVERTON SD 48J,rla,5,6.27214465692271,-0.835319621734434,0.12324786,0.13379732,0.36187303
BEAVERTON SD 48J,mth,6,7.00730221042844,0.0031575920686325,0.12324786,0.13379732,0.36187303
BEAVERTON SD 48J,rla,6,7.11816981340411,-0.864252669618114,0.12324786,0.13379732,0.36187303
CENTENNIAL SD 28J,mth,3,1.33576712740018,0.446189212444197,0.1921777,0.16658619,0.71982235
CENTENNIAL SD 28J,rla,3,1.27135939436198,-0.225002765880236,0.1921777,0.16658619,0.71982235
CENTENNIAL SD 28J,mth,4,2.11448733439531,0.537186547455726,0.1921777,0.16658619,0.71982235
